     78.12 3.514166e+03 6.355259e+02 2.107482e+03 8.541000e-03
    117.19 3.629215e+03 6.555944e+02 2.241408e+03 1.204600e-02
    156.25 3.656725e+03 6.687845e+02 2.309173e+03 1.559000e-02
    195.31 3.690718e+03 6.825939e+02 2.363197e+03 1.904200e-02
    292.97 3.739716e+03 6.929047e+02 2.435768e+03 2.771200e-02
    390.62 3.768252e+03 6.996432e+02 2.472935e+03 3.639400e-02
    781.25 3.723528e+03 7.076890e+02 2.495079e+03 7.214200e-02
   1562.50 3.460994e+03 6.769220e+02 2.356622e+03 1.527610e-01
   3125.00 3.537006e+03 6.260957e+02 2.323758e+03 3.098430e-01
   7812.50 3.536545e+03 6.276440e+02 2.330797e+03 7.722680e-01
  15625.00 3.510254e+03 6.330196e+02 2.330391e+03 1.544805e+00
  31250.00 1.850820e+03 3.333356e+02 1.228761e+03 5.859561e+00
  46875.00 1.692278e+03 3.014889e+02 1.118620e+03 9.654755e+00
  62500.00 1.641194e+03 2.863820e+02 1.075600e+03 1.338788e+01
 117187.50 1.627697e+03 2.803358e+02 1.060990e+03 2.544794e+01
