     78.12 3.498797e+03 6.317119e+02 2.104525e+03 8.553000e-03
    117.19 3.593352e+03 6.596306e+02 2.241222e+03 1.204700e-02
    156.25 3.656725e+03 6.719301e+02 2.316602e+03 1.554000e-02
    195.31 3.699251e+03 6.797172e+02 2.365433e+03 1.902400e-02
    292.97 3.738085e+03 6.915629e+02 2.434626e+03 2.772500e-02
    390.62 3.764174e+03 6.989586e+02 2.472256e+03 3.640400e-02
    781.25 3.784474e+03 7.091444e+02 2.522492e+03 7.135800e-02
   1562.50 3.763068e+03 7.148985e+02 2.534997e+03 1.420120e-01
   3125.00 3.723593e+03 7.172894e+02 2.530898e+03 2.844840e-01
   7812.50 3.723043e+03 7.193805e+02 2.539163e+03 7.088950e-01
  15625.00 3.746726e+03 7.198154e+02 2.551321e+03 1.411034e+00
  31250.00 3.387719e+03 7.155283e+02 2.393064e+03 3.008695e+00
  46875.00 3.072553e+03 7.088244e+02 2.241200e+03 4.818848e+00
  62500.00 3.160634e+03 6.881339e+02 2.258271e+03 6.376559e+00
 117187.50 3.128155e+03 6.637568e+02 2.214263e+03 1.219367e+01
